test_id,test_strain,type,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,flavor_1,flavor_2,flavor_3,flavor_4
96701,LA Ultra,Indica,Relaxed, Euphoric, Happy, Sleepy, Tingly, Dry Mouth, Paranoid,,Insomnia, Stress, Pain,,,Lemon,,,
274,Night Train,Hybrid,Relaxed, Sleepy, Tingly, Euphoric, Uplifted,,,,Insomnia, Pain, Stress, Lack of Appetite,,Pepper,,,
22651,Woody Kush,Hybrid,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid,,Insomnia, Stress, Depression, Pain, Lack of Appetite,Pine, Earthy,,
96811,Pakistan Valley Kush,Indica,Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth,,,Insomnia, Stress, Depression, Pain, Lack of Appetite,Pine, Sweet, Earthy,
1922,Pot of Gold,Hybrid,Relaxed, Sleepy, Euphoric, Hungry, Uplifted, Paranoid, Anxious, Dry Mouth,Insomnia, Pain, Lack of Appetite, Stress,,Sweet, Grape, Pineapple,
68729,Sugar Kush,Hybrid,Relaxed, Sleepy, Hungry, Happy, Tingly, Dry Mouth,,,Insomnia, Stress, Lack of Appetite, Pain,,Sweet, Earthy,,
112879,Platinum Purple Kush,Indica,Relaxed, Euphoric, Happy, Hungry, Uplifted, Dry Mouth, Paranoid, Anxious,Insomnia, Stress, Pain, Depression, Lack of Appetite,Sweet, Berry, Earthy,
164979,Purple Candy,Hybrid,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid,,Insomnia, Stress, Pain, Depression, Muscle Spasms,Sweet, Grape, Earthy,
12836,Blue Afghani,Hybrid,Relaxed, Euphoric, Hungry, Creative, Happy, Dry Mouth, Paranoid,,Lack of Appetite, Stress, Insomnia, Depression,,Blueberry,,,
36432,Fruity Chronic Juice,Hybrid,Relaxed, Euphoric, Happy, Talkative, Creative, Dry Mouth, Anxious,,Lack of Appetite, Pain, Stress, Depression,,Citrus, Sweet,,
