test_id,test_strain,type,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,flavor_1,flavor_2,flavor_3,ailment_count,effects_count,flavor_count
3581,Snow Leopard,Hybrid,Stress, Pain, Insomnia, Depression, Inflammation,Euphoric, Relaxed, Sleepy, Happy, Uplifted, Dry Mouth, Paranoid,None,Earthy, Sweet,None,5,7,2
3586,Cheese,Hybrid,None,None,None,None,None,Relaxed,Happy,Euphoric,Uplifted,Hungry,None,None,None,None,None,None,0,5,0
3592,Hindu Kush,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,None,5,8,2
3605,Dutch Dream,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Lavender,Ammonia,Sweet,0,0,3
3608,Deep Purple,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Euphoric, Sleepy, Happy, Tingly, Dry Mouth, Anxious,None,Grape, Earthy, Sweet,5,7,3
3620,Rosetta Stone,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Citrus,Orange,Sweet,0,0,3
3707,Skunk,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Spicy/Herbal,Pepper,Earthy,0,0,3
3818,Pez,Indica,Pain, Inflammation, Stress, Insomnia, Depression,Euphoric, Happy, Energetic, Talkative, Relaxed, Dry Mouth, Paranoid,None,Sweet, Citrus,None,5,7,2
3847,Phantom Cookies,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Pungent,Sweet,0,0,3
3903,Purple Urkle,Hybrid,Pain, Insomnia, Stress, Depression, Inflammation,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious,None,Sweet, Grape, Berry,5,7,3
3908,Death Star,Hybrid,Stress, Pain, Depression, Insomnia, Nausea,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious, Paranoid,Earthy,None,None,5,8,1
3934,Cheeseburger,Hybrid,None,None,None,None,None,Tingly,Uplifted,Relaxed,Aroused,Creative,None,None,None,None,None,None,0,5,0
4064,Chocolate Chunk,Hybrid,Insomnia, Pain, Stress, Depression, Nausea,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,None,Earthy, Sweet,None,5,7,2
4066,Cherry Kush,Organi,None,None,None,None,None,None,None,None,None,None,None,None,None,Lemon,Pine,Earthy,0,0,3
4073,Amnesia Haze,Hybrid,Stress, Depression, Pain,None,None,Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious,Citrus, Lemon, Earthy,3,8,3
4208,Green Love Potion,Hybrid,Pain, Muscle Spasms, Insomnia, Lack of Appetite, Stress,Relaxed, Horny, Tingly, Euphoric, Sleepy, Dry Mouth,None,None,Pine,None,None,5,6,1
4272,Enigma,Hybrid,Insomnia, Depression, Pain, Nausea, Inflammation,Relaxed, Happy, Sleepy, Euphoric, Dry Mouth,None,None,None,Citrus,None,None,5,5,1
4320,Super Blue Dream,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Citrus,Orange,Tropical,0,0,3
4334,XXX OG,Indica,Stress, Pain, Insomnia, Depression, Lack of Appetite,Sleepy, Relaxed, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid,None,Earthy, Pine,None,5,7,2
4374,Omega,Hybrid,None,None,None,None,None,Euphoric,Happy,Tingly,Relaxed,Uplifted,None,None,None,Tropical,Sweet,Citrus,0,5,3
4397,CBD Critical Mass,Hybrid,Pain, Inflammation, Depression, Muscle Spasms,None,Relaxed, Happy, Euphoric, Tingly, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy,None,None,4,8,1
4472,Bay 11,Hybrid,Depression, Insomnia, Stress, Pain,None,Happy, Uplifted, Energetic, Relaxed, Creative, Anxious, Dry Mouth,None,Sweet, Skunk,None,4,7,2
4526,Critical Sensi Star,Hybrid,Stress, Pain, Depression, Muscle Spasms, Insomnia,Relaxed, Happy, Sleepy, Uplifted, Tingly, Dry Mouth, Paranoid,None,Citrus, Sweet,None,5,7,2
4539,Supergirl,Hybrid,Stress, Depression, Pain, Lack of Appetite,None,Happy, Relaxed, Sleepy, Euphoric, Dry Mouth, Paranoid,None,None,Earthy,None,None,4,6,1
4551,Strawberry,Sativa,Stress, Depression, Pain,None,None,Happy, Uplifted, Energetic, Talkative, Euphoric, Dry Mouth, Paranoid,None,Strawberry, Sweet, Berry,3,7,3
4556,Moonshine Haze,Sativa,Stress, Depression, Muscle Spasms,None,None,Uplifted, Happy, Euphoric, Talkative, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Citrus,None,3,8,2
4679,God,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Sweet,Skunk,Tropical,0,0,3
4693,Chem Valley Kush,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Sweet,Pungent,0,0,3
4862,LA Confidential,Hybrid,Stress, Pain, Insomnia, Depression,None,Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy, Pine, Sweet,4,8,3
4877,Dance World,Hybrid,Stress, Depression, Pain, Inflammation, Lack of Appetite,Relaxed, Happy, Uplifted, Euphoric, Talkative, Dry Mouth,None,None,Citrus, Earthy,None,5,6,2
4880,Jack Cheddar,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Menthol,Spicy/Herbal,Pepper,0,0,3
5070,Cotton Candy,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Citrus,Tropical,Chemical,0,0,3
5079,Purple Mr. Nice,Indica,Insomnia, Pain, Depression, Stress, Nausea,Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Anxious,None,Earthy, Grape, Sweet,5,7,3
5136,Big Bang,Hybrid,Pain, Stress, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid, Anxious,Earthy,None,None,5,8,1
5184,Island Sweet Skunk,Sativa,Stress, Pain, Depression,None,None,Happy, Uplifted, Energetic, Euphoric, Creative, Dry Mouth, Paranoid,None,Sweet, Skunk,None,3,7,2
5185,Hash Plant,Indica,Stress, Pain, Insomnia, Depression,None,Relaxed, Sleepy, Happy, Hungry, Euphoric, Dry Mouth, Paranoid,None,Earthy,None,None,4,7,1
5192,Lemon Haze,Hybrid,Stress, Depression, Pain, Lack of Appetite,None,Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid,Lemon, Citrus, Sweet,4,8,3
5220,Abusive OG,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Anxious,None,Earthy, Citrus,None,5,7,2
5229,Raspberry Kush,Hybrid,Stress, Insomnia, Pain, Lack of Appetite, Muscle Spasms,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious,Berry, Sweet,None,5,8,2
5233,Critical Hog,Hybrid,Stress, Depression, Pain, Lack of Appetite,None,Relaxed, Happy, Hungry, Sleepy, Euphoric, Dry Mouth, Paranoid,None,Earthy,None,None,4,7,1
5268,Double Bubble,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Pineapple,Tropical,Sweet,0,0,3
5440,Pink Champagne,Indica,Stress, Depression, Insomnia,None,None,Relaxed, Euphoric, Happy, Uplifted, Dry Mouth, Anxious,None,None,Berry, Sweet, Rose,3,6,3
5670,Red Headed Stranger,Sativa,Depression, Stress, Pain, Lack of Appetite,None,Focused, Happy, Energetic, Uplifted, Creative, Dry Mouth, Paranoid, Anxious,Citrus, Earthy,None,4,8,2
5715,CheeseWreck,Hybrid,None,None,None,None,None,Happy,Relaxed,Uplifted,Creative,Euphoric,None,None,None,Sweet,Pungent,Citrus,0,5,3
5744,Sugar Black Rose,Hybrid,Stress, Insomnia, Muscle Spasms, Lack of Appetite,None,Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Anxious,None,Sweet, Rose, Earthy,4,7,3
5782,Jock Horror,Hybrid,Depression, Stress, Lack of Appetite, Insomnia,None,Euphoric, Happy, Creative, Hungry, Relaxed, Dry Mouth, Anxious,None,Sweet, Berry, Earthy,4,7,3
5825,Brainwreck,Hybrid,None,None,None,None,None,Creative,Focused,Uplifted,Happy,Euphoric,None,None,None,Earthy,Pungent,Woody,0,5,3
5880,Galactic Jack,Hybrid,Depression, Stress, Pain,None,None,Energetic, Focused, Happy, Uplifted, Euphoric, Dry Mouth, Anxious,None,Citrus, Sweet,None,3,7,2
5884,Marionberry Kush,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Sweet,Woody,0,0,3
5885,Pennywise,Hybrid,Stress, Pain, Depression, Insomnia, Inflammation,Relaxed, Happy, Sleepy, Uplifted, Euphoric, Dry Mouth, Anxious, Paranoid,Earthy,None,None,5,8,1
5921,WSU,Indica,Pain, Stress, Depression, Insomnia, Lack of Appetite,Relaxed, Euphoric, Hungry, Happy, Talkative, Dry Mouth,None,None,Pine, Earthy, Berry,5,6,3
5930,American Kush,Hybrid,Pain, Muscle Spasms, Stress, Insomnia,None,Relaxed, Happy, Tingly, Sleepy, Uplifted, Dry Mouth, Anxious,None,Sweet, Lemon, Lime,4,7,3
5941,Cali Orange,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Woody,Earthy,Pine,0,0,3
5974,Pre-98 Bubba Kush,Indica,Pain, Stress, Insomnia, Inflammation, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious,None,Earthy, Coffee, Pine,5,7,3
