id,status,sort,name,test_id,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1076,2,0,Golden Nugget,144,NULL,NULL,NULL,Hybrid,NULL,PAPA GANJA,NULL,NULL,NULL,"Lake Forest, CA",NULL,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,1,0,NYC Diesel,146,NULL,NULL,NULL,Hybrid,"10,378",Soma Seeds,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
864,1,0,NYC Diesel,146,NULL,NULL,NULL,Hybrid,,Soma Seeds,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7185,2,0,Berkeley Blues,157,NULL,NULL,NULL,Hybrid,NULL,Stoney Girl Gardens,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6847,2,0,Blue Magoo,158,NULL,NULL,NULL,Hybrid,NULL,Dynasty Seeds,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,0,Critical Mass,159,NULL,NULL,NULL,Hybrid,"10, 370",Seed Bank,"Relaxed, Happy, Sleepy, Uplifted, Focused, Dry Mouth, Anxious, Paranoid","Stress, Pain, Depression, Insomnia, Inflammation","Earthy, Sweet",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7989,2,0,Grape Krush,160,NULL,NULL,NULL,Hybrid,NULL,DJ Short,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906,2,0,Train Wreck,163,NULL,NULL,NULL,Hybrid,NULL,THC Seeds,NULL,NULL,NULL,"Los Angeles, CA",NULL,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7709,2,0,Frosted Flakes,170,NULL,NULL,NULL,Hybrid,NULL,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,1,0,Trainwreck,171,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,1,0,Afgooey,173,NULL,NULL,NULL,Indica,0,,"Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious","Pain, Insomnia, Lack of Appetite, Stress, Muscle Spasms","Earthy, Pine",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,1,0,Bubba Kush,177,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid","Pain, Stress, Insomnia, Depression, Lack of Appetite","Earthy, Sweet","Los Angeles, CA",NULL,1800,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
