test_id,test_strain,type,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,flavor_1,flavor_2,flavor_3,thc_max,cbd_max,inventory_type,chemotype,strain_category,strain_leafly_page_rank,strain_leafly_review_rank,strain_tests,strain_chemotype,strain_prop_chemotype1,strain_prop_chemotype2,strain_prop_chemotype3,strain_modal_chemo_prop
1522,Sweet Cheese,Hybrid,Depression, Stress, Lack of Appetite,,,Euphoric, Uplifted, Happy, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid,Sweet,,,16.17552,0,Flower Lot,1,Sativa,568,142,94,1,1,0,0,1
1576,The Black,Hybrid,Insomnia, Stress, Pain, Muscle Spasms, Inflammation,Relaxed, Sleepy, Happy, Tingly, Euphoric, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,,16.663,0,Flower Lot,1,Indica,303,144,155,1,1,0,0,1
1631,Super Silver Haze,Sativa,Stress, Depression, Pain, Lack of Appetite,,Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious,Citrus, Earthy, Sweet,16.2109,0.133,Flower Lot,1,Sativa,25,17,997,1,1,0,0,1
1736,Charlie Sheen,Hybrid,,,,,,,,,,,,,,Spicy/Herbal,Earthy,Sweet,18.2,0.2,Flower Lot,1,Hybrid,470,132,20,1,0.95,0,0.05,0.95
1741,Purple OG Kush,Indica,Stress, Insomnia, Depression, Lack of Appetite,,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Anxious, Paranoid,Earthy,,,17.3,0.2,Flower Lot,1,Indica,184,112,77,1,1,0,0,1
1855,THC Bomb,Hybrid,,,,,,,,,,,,,,Earthy,Pungent,Sweet,13.45884,0.082,Flower Lot,1,Hybrid,183,116,228,1,0.9824561,0.0175439,0,0.9824561
1889,Aurora Indica,Hybrid,Stress, Insomnia, Pain, Muscle Spasms, Inflammation,Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth, Paranoid,,Pine, Skunk,,17.7154,0,Flower Lot,1,Indica,396,138,35,1,1,0,0,1
1908,Chronic,Hybrid,,,,,,Relaxed,Happy,Giggly,Euphoric,Energetic,,,,,,,13.48602,0.15,Flower Lot,1,Hybrid,171,133,46,1,1,0,0,1
1921,Fruit Punch,Hybrid,Depression, Stress, Pain, Nausea,,Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid,Sweet, Berry,,12.5411,0,Flower Lot,1,Sativa,349,123,75,1,1,0,0,1
1922,Pot of Gold,Hybrid,Insomnia, Pain, Lack of Appetite, Stress,,Relaxed, Sleepy, Euphoric, Hungry, Uplifted, Paranoid, Anxious, Dry Mouth,Sweet, Grape, Pineapple,19.72214,0.31,Flower Lot,1,Indica,361,136,39,1,1,0,0,1
1939,Granddaddy Purple,Indica,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid,,Berry, Grape, Sweet,14.37372,0.069,Flower Lot,1,Indica,7,7,2272,1,0.9744718,0.0246479,0.0008803,0.9744718
1959,Burmese,Hybrid,,,,,,,,,,,,,,Earthy,Pungent,Sweet,13.78687,0,Flower Lot,1,Hybrid,378,135,250,1,0.992,0.008,0,0.992
2009,Buffalo Bill,Sativa,Depression, Stress, Pain, Insomnia,,Euphoric, Relaxed, Uplifted, Tingly, Happy, Dry Mouth, Anxious,,Pine, Earthy,,19.1,0.2,Flower Lot,1,Sativa,1621,148,143,1,1,0,0,1
2022,Alaskan Thunder Fuck,Sativa,Stress, Depression, Lack of Appetite, Pain,,Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious,Earthy, Pine,,14.15644,0,Flower Lot,1,Sativa,33,39,1376,1,0.9898256,0.005814,0.0043605,0.9898256
2023,Deadwood,Indica,Stress, Muscle Spasms, Pain,,,Relaxed, Sleepy, Creative, Focused, Happy,,,,Berry, Lavender, Earthy,13.52564,0,Flower Lot,1,Indica,1631,146,10,1,1,0,0,1
2044,Green Crack,Hybrid,Stress, Depression, Pain,,,Energetic, Happy, Uplifted, Focused, Euphoric, Dry Mouth, Anxious, Paranoid,Citrus, Sweet, Earthy,23.03949,0.13,Flower Lot,1,Sativa,6,4,2711,1,0.9977868,0.0022132,0,0.9977868
2119,Blackberry Trainwreck,Hybrid,,,,,,,,,,,,,,Earthy,Tropical,Flowery,13.7558,0,Flower Lot,1,Hybrid,1445,151,132,1,0.969697,0.030303,0,0.969697
2122,Skywalker,Hybrid,Stress, Pain, Depression, Insomnia,,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,20.8787,0.19,Flower Lot,1,Indica,43,67,204,1,0.9803922,0.0196078,0,0.9803922
2140,Blue Mystic,Hybrid,Stress, Depression, Nausea,,,Relaxed, Happy, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious,,Blueberry, Earthy, Sweet,7.00583,0,Flower Lot,1,Indica,376,142,52,1,1,0,0,1
2179,Berry White,Hybrid,Stress, Pain, Depression, Insomnia,,Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious,Berry, Sweet, Blueberry,3.083684,0.001,Flower Lot,1,Indica,102,49,459,1,0.9891068,0.0108932,0,0.9891068
2211,Purple Diesel,Hybrid,,,,,,,,,,,,,,Grape,Rose,Honey,8.23027,0.086,Flower Lot,1,Hybrid,192,115,639,1,0.9906103,0.0093897,0,0.9906103
2222,Blue City Diesel,Hybrid,,,,,,,,,,,,,,Lime,Grapefruit,Tropical,17.6646,0.2,Flower Lot,1,Hybrid,128,99,375,1,0.9946667,0.0053333,0,0.9946667
2268,Straight Jacket,Hybrid,,,,,,,,,,,,,,Citrus,Grapefruit,Earthy,23.6363,0.23,Flower Lot,1,,,,,,,,,
2280,Cinderella 99,Sativa,,,,,,,,,,,,,,Earthy,Spicy/Herbal,Sweet,11.14455,0.05,Flower Lot,1,Hybrid,69,82,449,1,1,0,0,1
2343,Royal Haze,Hybrid,Depression, Stress, Pain,,,Uplifted, Relaxed, Talkative, Happy, Euphoric, Dry Mouth,,,Skunk, Citrus, Earthy,16.13724,0.224,Flower Lot,1,Sativa,925,150,5,1,1,0,0,1
2350,Strawberry Kush,Hybrid,,,,,,,,,,,,,,Sweet,Berry,Flowery,19.1797,0.27,Flower Lot,1,Hybrid,150,111,48,1,1,0,0,1
2358,Jack Frost,Hybrid,,,,,,,,,,,,,,Earthy,Citrus,Sweet,16.21862,0.34,Flower Lot,1,Hybrid,142,98,142,1,0.9929578,0.0070423,0,0.9929578
2563,X Factor,Hybrid,,,,,,,,,,,,,,Sweet,Woody,Earthy,19.4063,0.4,Flower Lot,1,,,,,,,,,
2626,Papaya,Hybrid,Stress, Pain, Insomnia, Inflammation,,Relaxed, Sleepy, Happy, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious,Sweet,,,19.65047,0.2,Flower Lot,1,Indica,432,136,101,1,1,0,0,1
2629,Acapulco Gold,Sativa,Depression, Stress, Pain, Lack of Appetite,,Happy, Euphoric, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid, Anxious,Earthy, Citrus,,16.13337,0.283,Flower Lot,1,Sativa,108,84,656,1,0.9954268,0.0045732,0,0.9954268
2688,LSD,Hybrid,,,,,,Happy,Relaxed,Euphoric,Uplifted,Creative,,,,Citrus,Pepper,Grapefruit,15.9,0.3,Flower Lot,1,Hybrid,51,47,302,1,0.9966887,0.0033113,0,0.9966887
2748,Oregon Diesel,Hybrid,Depression, Stress, Insomnia, Pain,,Relaxed, Happy, Euphoric, Uplifted, Tingly, Dry Mouth, Paranoid, Anxious,Earthy,,,13.52147,0.78,Flower Lot,1,Indica,665,136,131,1,1,0,0,1
2764,Critical Kush,Indica,Depression, Stress, Pain, Lack of Appetite, Insomnia,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Anxious, Paranoid,Earthy,,,16.60826,0.159,Flower Lot,1,Indica,68,51,477,1,0.9874214,0.0125786,0,0.9874214
2772,Vanilla Kush,Indica,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,,Vanilla, Sweet,,21.39759,0.185,Flower Lot,1,Indica,179,87,156,1,1,0,0,1
2945,White Rhino,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth, Paranoid,,Earthy, Sweet,,15.70154,0.094,Flower Lot,1,Indica,54,67,493,1,1,0,0,1
2946,White Lavender,Hybrid,,,,,,,,,,,,,,Strawberry,Sweet,Flowery,15.90138,0.079,Flower Lot,1,Hybrid,963,143,63,1,1,0,0,1
2949,Thai,Sativa,Stress, Depression, Pain,,,Happy, Relaxed, Uplifted, Euphoric, Energetic, Dry Mouth, Anxious,,Earthy, Sweet,,17.81722,0.199,Flower Lot,1,Sativa,147,137,82,1,1,0,0,1
2993,Bubblicious,Hybrid,,,,,,Happy,Relaxed,Talkative,Giggly,Uplifted,,,,Sweet,Tropical,Citrus,13.94938,0.079,Flower Lot,1,Hybrid,517,142,101,1,1,0,0,1
2996,Shark Attack,Hybrid,Pain, Stress, Insomnia, Inflammation,,Happy, Focused, Hungry, Horny, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Skunk,,17.16335,0.139,Flower Lot,1,Indica,1618,151,10,1,1,0,0,1
3052,Blackberry,Hybrid,,,,,,Relaxed,Euphoric,Happy,Uplifted,Sleepy,,,,,,,9.66561,0.07,Flower Lot,1,Hybrid,156,101,444,1,0.9324324,0.0675676,0,0.9324324
3280,Purple Haze,Hybrid,Depression, Stress, Pain,,,Euphoric, Happy, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid,,Earthy, Sweet, Berry,10.73201,0.135,Flower Lot,1,Sativa,36,49,283,1,1,0,0,1
3348,Everlast,Indica,Stress, Insomnia, Pain, Depression, Inflammation,Relaxed, Sleepy, Happy, Tingly, Euphoric, Dry Mouth,,,Earthy, Skunk,,24.74766,0.35,Flower Lot,1,,,,,,,,,
3388,Northern Lights x Blueberry,Hybrid,,,,,,,,,,,,,,Earthy,Pungent,Skunk,15.3844,0.7,Flower Lot,1,,,,,,,,,
3439,Alien Dawg,Indica,Stress, Pain, Insomnia, Nausea,,Relaxed, Euphoric, Happy, Sleepy, Uplifted, Dry Mouth, Anxious,,Earthy,,,11.32856,0.156,Flower Lot,1,Indica,293,128,120,1,0.9833333,0.0166667,0,0.9833333
3510,Blood Wreck,Hybrid,,,,,,,,,,,,,,Sweet,Earthy,Flowery,9.6,0.2,Flower Lot,1,,,,,,,,,
3523,Flo,Hybrid,,,,,,Happy,Uplifted,Relaxed,Creative,Focused,,,,,,,13.6,0.4,Flower Lot,1,Hybrid,148,83,38,1,1,0,0,1
3528,Maui Wowie,Sativa,Stress, Depression, Pain,,,Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious,Sweet, Pineapple,,6.9,0,Flower Lot,1,Sativa,60,49,835,1,0.9772455,0.0215569,0.0011976,0.9772455
3560,Sensi Star,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid,,Earthy, Sweet,,13.39741,0.76,Flower Lot,1,Indica,139,94,293,1,0.9829351,0.0170648,0,0.9829351
3574,Blueberry Skunk,Hybrid,Stress, Pain, Muscle Spasms, Nausea,,Euphoric, Relaxed, Happy, Uplifted, Tingly, Dry Mouth, Anxious, Paranoid,Blueberry, Berry, Skunk,6.967445,0.017,Flower Lot,1,Indica,672,147,54,1,1,0,0,1
3581,Snow Leopard,Hybrid,Stress, Pain, Insomnia, Depression, Inflammation,Euphoric, Relaxed, Sleepy, Happy, Uplifted, Dry Mouth, Paranoid,,Earthy, Sweet,,18.70933,0.201,Flower Lot,1,Indica,1149,142,227,1,1,0,0,1
3586,Cheese,Hybrid,,,,,,Relaxed,Happy,Euphoric,Uplifted,Hungry,,,,,,,16.0014,0.05,Flower Lot,1,Hybrid,34,39,776,1,0.9935567,0.0051546,0.0012887,0.9935567
3592,Hindu Kush,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,,13.06919,0,Flower Lot,1,Indica,59,55,473,1,0.9978858,0.0021142,0,0.9978858
3605,Dutch Dream,Hybrid,,,,,,,,,,,,,,Lavender,Ammonia,Sweet,19.1,0.2,Flower Lot,1,Hybrid,104,55,4529,1,0.9971296,0.0028704,0,0.9971296
3608,Deep Purple,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Euphoric, Sleepy, Happy, Tingly, Dry Mouth, Anxious,,Grape, Earthy, Sweet,20.07429,0.01,Flower Lot,1,Indica,600,147,95,1,1,0,0,1
3620,Rosetta Stone,Hybrid,,,,,,,,,,,,,,Citrus,Orange,Sweet,16.286,0.7,Flower Lot,1,,,,,,,,,
3707,Skunk,Hybrid,,,,,,,,,,,,,,Spicy/Herbal,Pepper,Earthy,22.42349,0.01,Flower Lot,1,Hybrid,58,113,742,1,0.9824798,0.0175202,0,0.9824798
3818,Pez,Indica,Pain, Inflammation, Stress, Insomnia, Depression,Euphoric, Happy, Energetic, Talkative, Relaxed, Dry Mouth, Paranoid,,Sweet, Citrus,,7.492102,0,Flower Lot,1,Indica,1213,151,79,1,1,0,0,1
3847,Phantom Cookies,Hybrid,,,,,,,,,,,,,,Earthy,Pungent,Sweet,19.84341,0.17,Flower Lot,1,Hybrid,309,109,368,1,1,0,0,1
3903,Purple Urkle,Hybrid,Pain, Insomnia, Stress, Depression, Inflammation,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious,,Sweet, Grape, Berry,13.30398,0,Flower Lot,1,Indica,64,43,737,1,0.9932157,0.0067843,0,0.9932157
3908,Death Star,Hybrid,Stress, Pain, Depression, Insomnia, Nausea,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious, Paranoid,Earthy,,,20,0.3,Flower Lot,1,Indica,55,41,403,1,0.9652606,0.0347395,0,0.9652606
3934,Cheeseburger,Hybrid,,,,,,Tingly,Uplifted,Relaxed,Aroused,Creative,,,,,,,17.67935,0,Flower Lot,1,Hybrid,1536,150,19,1,1,0,0,1
4064,Chocolate Chunk,Hybrid,Insomnia, Pain, Stress, Depression, Nausea,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,,Earthy, Sweet,,10.37897,0.105,Flower Lot,1,Indica,472,141,386,1,0.9948186,0.0051813,0,0.9948186
4066,Cherry Kush,Organi,,,,,,,,,,,,,,Lemon,Pine,Earthy,14.05582,0.173,Flower Lot,1,Hybrid,241,128,159,1,0.9937107,0.0062893,0,0.9937107
4073,Amnesia Haze,Hybrid,Stress, Depression, Pain,,,Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious,Citrus, Lemon, Earthy,15.70653,0.18,Flower Lot,1,Sativa,26,30,331,1,0.9939577,0.0060423,0,0.9939577
4208,Green Love Potion,Hybrid,Pain, Muscle Spasms, Insomnia, Lack of Appetite, Stress,Relaxed, Horny, Tingly, Euphoric, Sleepy, Dry Mouth,,,Pine,,,10.68508,0.09,Flower Lot,1,Indica,1002,150,76,1,1,0,0,1
4272,Enigma,Hybrid,Insomnia, Depression, Pain, Nausea, Inflammation,Relaxed, Happy, Sleepy, Euphoric, Dry Mouth,,,,Citrus,,,4.4,10,Flower Lot,2,Indica,1577,149,18,1,0.7222222,0.2777778,0,0.7222222
4320,Super Blue Dream,Hybrid,,,,,,,,,,,,,,Citrus,Orange,Tropical,19,0.2,Flower Lot,1,Hybrid,360,134,91,1,1,0,0,1
4334,XXX OG,Indica,Stress, Pain, Insomnia, Depression, Lack of Appetite,Sleepy, Relaxed, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid,,Earthy, Pine,,10.5609,0.4,Flower Lot,1,Indica,127,127,54,1,0.9444444,0.0555556,0,0.9444444
4374,Omega,Hybrid,,,,,,Euphoric,Happy,Tingly,Relaxed,Uplifted,,,,Tropical,Sweet,Citrus,12.9166,0.151,Flower Lot,1,Hybrid,1514,150,65,1,1,0,0,1
4397,CBD Critical Mass,Hybrid,Pain, Inflammation, Depression, Muscle Spasms,,Relaxed, Happy, Euphoric, Tingly, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy,,,3.423396,7.627,Flower Lot,2,Indica,70,69,568,1,0.5633803,0.4366197,0,0.5633803
4472,Bay 11,Hybrid,Depression, Insomnia, Stress, Pain,,Happy, Uplifted, Energetic, Relaxed, Creative, Anxious, Dry Mouth,,Sweet, Skunk,,16.7507,0,Flower Lot,1,Sativa,454,134,120,1,0.9833333,0.0166667,0,0.9833333
4526,Critical Sensi Star,Hybrid,Stress, Pain, Depression, Muscle Spasms, Insomnia,Relaxed, Happy, Sleepy, Uplifted, Tingly, Dry Mouth, Paranoid,,Citrus, Sweet,,10.62154,0.237,Flower Lot,1,Indica,836,144,64,1,1,0,0,1
4539,Supergirl,Hybrid,Stress, Depression, Pain, Lack of Appetite,,Happy, Relaxed, Sleepy, Euphoric, Dry Mouth, Paranoid,,,Earthy,,,22.3004,1.3,Flower Lot,1,Indica,1491,146,435,1,0.9448276,0.0505747,0.0045977,0.9448276
4551,Strawberry,Sativa,Stress, Depression, Pain,,,Happy, Uplifted, Energetic, Talkative, Euphoric, Dry Mouth, Paranoid,,Strawberry, Sweet, Berry,15.986,0.2,Flower Lot,1,Sativa,244,127,107,1,0.9813084,0.0186916,0,0.9813084
4556,Moonshine Haze,Sativa,Stress, Depression, Muscle Spasms,,,Uplifted, Happy, Euphoric, Talkative, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Citrus,,15.29426,0.161,Flower Lot,1,Sativa,410,134,29,1,1,0,0,1
4679,God,Hybrid,,,,,,,,,,,,,,Sweet,Skunk,Tropical,16.6839,0.278,Flower Lot,1,,,,,,,,,
4693,Chem Valley Kush,Hybrid,,,,,,,,,,,,,,Earthy,Sweet,Pungent,19.92971,0,Flower Lot,1,Hybrid,735,146,16,1,1,0,0,1
4862,LA Confidential,Hybrid,Stress, Pain, Insomnia, Depression,,Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy, Pine, Sweet,14.01456,0.462,Flower Lot,1,Indica,65,58,385,1,0.9688312,0.0311688,0,0.9688312
4877,Dance World,Hybrid,Stress, Depression, Pain, Inflammation, Lack of Appetite,Relaxed, Happy, Uplifted, Euphoric, Talkative, Dry Mouth,,,Citrus, Earthy,,8.427882,14.223,Flower Lot,2,Sativa,630,150,66,2,0.3636364,0.6363636,0,0.6363636
4880,Jack Cheddar,Hybrid,,,,,,,,,,,,,,Menthol,Spicy/Herbal,Pepper,20.83582,0.864,Flower Lot,1,,,,,,,,,
5070,Cotton Candy,Hybrid,,,,,,,,,,,,,,Citrus,Tropical,Chemical,13.8058,0.4,Flower Lot,1,Hybrid,94,63,925,1,0.9902703,0.0010811,0.0086486,0.9902703
5079,Purple Mr. Nice,Indica,Insomnia, Pain, Depression, Stress, Nausea,Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Anxious,,Earthy, Grape, Sweet,18.7924,0.1,Flower Lot,1,Indica,549,143,17,1,0.9411765,0.0588235,0,0.9411765
5136,Big Bang,Hybrid,Pain, Stress, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid, Anxious,Earthy,,,11.54476,1.531,Flower Lot,1,Indica,812,148,43,1,1,0,0,1
5184,Island Sweet Skunk,Sativa,Stress, Pain, Depression,,,Happy, Uplifted, Energetic, Euphoric, Creative, Dry Mouth, Paranoid,,Sweet, Skunk,,13.8,0.2,Flower Lot,1,Sativa,114,65,50,1,1,0,0,1
5185,Hash Plant,Indica,Stress, Pain, Insomnia, Depression,,Relaxed, Sleepy, Happy, Hungry, Euphoric, Dry Mouth, Paranoid,,Earthy,,,17.9,0.2,Flower Lot,1,Indica,140,102,305,1,1,0,0,1
5192,Lemon Haze,Hybrid,Stress, Depression, Pain, Lack of Appetite,,Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid,Lemon, Citrus, Sweet,15.46502,0.131,Flower Lot,1,Sativa,17,14,98,1,0.9795918,0.0204082,0,0.9795918
5220,Abusive OG,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Anxious,,Earthy, Citrus,,17.4,0.2,Flower Lot,1,Indica,419,140,60,1,1,0,0,1
5229,Raspberry Kush,Hybrid,Stress, Insomnia, Pain, Lack of Appetite, Muscle Spasms,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious,Berry, Sweet,,14.67525,0.192,Flower Lot,1,Indica,231,118,357,1,1,0,0,1
5233,Critical Hog,Hybrid,Stress, Depression, Pain, Lack of Appetite,,Relaxed, Happy, Hungry, Sleepy, Euphoric, Dry Mouth, Paranoid,,Earthy,,,10.44974,0.261,Flower Lot,1,Indica,883,143,24,1,1,0,0,1
5268,Double Bubble,Hybrid,,,,,,,,,,,,,,Pineapple,Tropical,Sweet,9.947473,0.083,Flower Lot,1,,,,,,,,,
5440,Pink Champagne,Indica,Stress, Depression, Insomnia,,,Relaxed, Euphoric, Happy, Uplifted, Dry Mouth, Anxious,,,Berry, Sweet, Rose,17.9,0.3,Flower Lot,1,Indica,359,136,22,1,0.9090909,0.0909091,0,0.9090909
5670,Red Headed Stranger,Sativa,Depression, Stress, Pain, Lack of Appetite,,Focused, Happy, Energetic, Uplifted, Creative, Dry Mouth, Paranoid, Anxious,Citrus, Earthy,,17.2,0.2,Flower Lot,1,Sativa,415,121,110,1,1,0,0,1
5715,CheeseWreck,Hybrid,,,,,,Happy,Relaxed,Uplifted,Creative,Euphoric,,,,Sweet,Pungent,Citrus,24.0298,0,Flower Lot,1,Hybrid,981,145,64,1,1,0,0,1
5744,Sugar Black Rose,Hybrid,Stress, Insomnia, Muscle Spasms, Lack of Appetite,,Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Anxious,,Sweet, Rose, Earthy,18.87301,0.07,Flower Lot,1,Indica,263,122,76,1,1,0,0,1
5782,Jock Horror,Hybrid,Depression, Stress, Lack of Appetite, Insomnia,,Euphoric, Happy, Creative, Hungry, Relaxed, Dry Mouth, Anxious,,Sweet, Berry, Earthy,15.95218,0.076,Flower Lot,1,Sativa,730,148,25,1,1,0,0,1
5825,Brainwreck,Hybrid,,,,,,Creative,Focused,Uplifted,Happy,Euphoric,,,,Earthy,Pungent,Woody,18.4,0.2,Flower Lot,1,Hybrid,711,143,30,1,1,0,0,1
5880,Galactic Jack,Hybrid,Depression, Stress, Pain,,,Energetic, Focused, Happy, Uplifted, Euphoric, Dry Mouth, Anxious,,Citrus, Sweet,,22.19281,0,Flower Lot,1,Sativa,508,136,123,1,1,0,0,1
5884,Marionberry Kush,Hybrid,,,,,,,,,,,,,,Earthy,Sweet,Woody,20.85287,0,Flower Lot,1,Hybrid,439,133,429,1,0.990676,0.009324,0,0.990676
5885,Pennywise,Hybrid,Stress, Pain, Depression, Insomnia, Inflammation,Relaxed, Happy, Sleepy, Uplifted, Euphoric, Dry Mouth, Anxious, Paranoid,Earthy,,,9.55786,11.83,Flower Lot,2,Indica,172,104,265,2,0.2301887,0.7660378,0.0037736,0.7660378
5921,WSU,Indica,Pain, Stress, Depression, Insomnia, Lack of Appetite,Relaxed, Euphoric, Hungry, Happy, Talkative, Dry Mouth,,,Pine, Earthy, Berry,6.539448,0,Flower Lot,1,Indica,1810,150,212,1,1,0,0,1
5930,American Kush,Hybrid,Pain, Muscle Spasms, Stress, Insomnia,,Relaxed, Happy, Tingly, Sleepy, Uplifted, Dry Mouth, Anxious,,Sweet, Lemon, Lime,8.841914,0,Flower Lot,1,,,,,,,,,
5941,Cali Orange,Hybrid,,,,,,,,,,,,,,Woody,Earthy,Pine,11.47993,0,Flower Lot,1,Hybrid,1854,151,11,1,1,0,0,1
5974,Pre-98 Bubba Kush,Indica,Pain, Stress, Insomnia, Inflammation, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious,,Earthy, Coffee, Pine,8.522264,0,Flower Lot,1,Indica,164,93,319,1,0.9968652,0.0031348,0,0.9968652
5985,Sweet Tooth,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Uplifted, Tingly, Dry Mouth, Paranoid,,Sweet, Berry,,11.98333,0,Flower Lot,1,Indica,144,116,119,1,1,0,0,1
5990,Purple Afghani,Hybrid,Stress, Pain, Insomnia, Depression,,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,,Sweet, Grape,,12.34883,0,Flower Lot,1,Indica,401,141,168,1,0.9583333,0.0416667,0,0.9583333
6068,DJ Short Blueberry,Indica,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Uplifted, Creative, Dry Mouth, Anxious,,Blueberry, Sweet, Berry,17.9154,0.1,Flower Lot,1,Indica,319,127,728,1,0.989011,0.010989,0,0.989011
6118,Purple Wreck,Hybrid,Stress, Pain, Depression, Inflammation,,Relaxed, Sleepy, Happy, Uplifted, Dry Mouth, Paranoid, Anxious,,Grape, Sweet, Berry,6.8606,0.13,Flower Lot,1,Indica,629,133,27,1,1,0,0,1
6120,Chocolate Kush,Hybrid,Stress, Pain, Insomnia, Lack of Appetite,,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid,,Earthy, Coffee, Sweet,12.6111,0.27,Flower Lot,1,Indica,201,135,109,1,1,0,0,1
6125,Pure Kush,Indica,Pain, Insomnia, Stress, Nausea,,Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid,,Earthy, Skunk,,9.5946,0.21,Flower Lot,1,Indica,155,124,48,1,1,0,0,1
6285,XJ-13,Hybrid,,,,,,Happy,Euphoric,Relaxed,Uplifted,Creative,,,,,,,12.8026,0.6,Flower Lot,1,Hybrid,110,64,782,1,1,0,0,1
6439,Violator Kush,Indica,Depression, Stress, Insomnia, Pain,,Relaxed, Sleepy, Euphoric, Happy, Focused, Dry Mouth, Paranoid, Anxious,Earthy,,,18.96427,0.368,Flower Lot,1,Indica,229,114,11,1,0.9090909,0.0909091,0,0.9090909
6533,G13,Indica,Stress, Pain, Depression, Insomnia, Inflammation,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious,,Earthy, Sweet,,8.4315,0.34,Flower Lot,1,Indica,56,69,355,1,0.9915493,0.0084507,0,0.9915493
6600,Cannalope Haze,Hybrid,Depression, Stress, Pain, Nausea,,Happy, Relaxed, Focused, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious,Sweet, Lime,,17,0,Flower Lot,1,Sativa,299,126,74,1,1,0,0,1
6611,Tangerine,Hybrid,,,,,,Happy,Uplifted,Energetic,Relaxed,Creative,,,,,,,21.877,0,Flower Lot,1,Hybrid,291,128,68,1,1,0,0,1
6615,Super Sour Diesel,Hybrid,Stress, Depression, Pain,,,Euphoric, Uplifted, Energetic, Happy, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,,22.048,0,Flower Lot,1,Sativa,149,95,147,1,1,0,0,1
