test_strain,type,ailment_1,effects_1,flavor_1,thc_max,cbd_max,chemotype,strain_leafly_review_rank,strain_leafly_page_rank
Mr. Nice,Hybrid,Stress,Relaxed,Sweet,15.89328,0.28,1,75,62
Afghooey,Indica,Pain,Uplifted,Earthy,18.54,0,1,147,1204
Cookie Monster,Hybrid,Stress,Relaxed,Grape,20.171,0,1,136,450
Sweet Baby Jane,Indica,Muscle Spasms,Relaxed,Citrus,18.663,0,1,144,1305
Dairy Queen,Hybrid,None,None,Earthy,15.909,0,1,120,372
Sweet and Sour Widow,Indica,Pain,Relaxed,Earthy,6.45328,0,1,150,573
Early Girl,Indica,Stress,Relaxed,Citrus,18.0007,0,1,150,757
Nuken,Hybrid,Depression,Relaxed,Citrus,16.47958,0,1,118,283
Kilimanjaro,Sativa,Depression,Energetic,Earthy,14.06845,0,1,137,858
Wild Thailand,Hybrid,Depression,Horny,Sweet,13.1062,0,1,151,1459
Great White Shark,Sativa,Stress,Relaxed,Earthy,10.15345,0.531,1,103,159
Haze Mist,Hybrid,Nausea,Energetic,None,6.262763,0.65,1,152,1636
Kalashnikova,Hybrid,None,Relaxed,None,8.677074,0.235,1,143,840
Super Critical,Hybrid,None,None,Sage,12.33255,0.926,1,0,0
The Doctor,Hybrid,Insomnia,Relaxed,Earthy,13.15114,0.346,1,148,768
Jamaican Lion,Hybrid,Pain,Uplifted,Earthy,23.8913,0.8,1,148,811
Jedi Kush,Hybrid,Stress,Relaxed,Earthy,16.032,0,1,110,251
Redwood Kush,Hybrid,Insomnia,Euphoric,Pine,11.19282,0.14,1,135,505
Jesus OG,Hybrid,Stress,Happy,Earthy,18.54,1,1,108,188
ACDC,Sativa,None,Relaxed,None,4.50607,9.03,2,62,77
Orange Creamsicle,Hybrid,None,None,Diesel,16.14124,0.15,1,129,408
Original Blueberry,Hybrid,None,None,Earthy,14.132,0,1,0,0
Shark Shock,Hybrid,Pain,Relaxed,Earthy,3.91142,0.18,1,137,382
SnowLAnd,Hybrid,None,Relaxed,None,14.37997,0,1,150,861
Humboldt,Hybrid,None,Relaxed,Diesel,12.79479,0,1,116,609
Grapefruit,Hybrid,Stress,Happy,Citrus,21.01425,0.74,1,89,154
NightFire OG,Hybrid,Stress,Talkative,Earthy,20.31682,0.794,1,151,1302
Fucking Incredible,Hybrid,Pain,Relaxed,Skunk,18.59481,0.23,1,106,351
Afghan Skunk,Hybrid,Stress,Relaxed,Earthy,23.14938,0.26,1,146,725
Monster Cookies,Hybrid,Stress,Relaxed,Earthy,17.42981,0.296,1,101,217
Green Dragon,Hybrid,Pain,Relaxed,Sweet,19.00591,0.689,1,140,520
Purple Bubba,Indica,Lack of Appetite,Relaxed,Grape,23.048,0,1,149,579
Tropicali,Hybrid,None,Euphoric,None,18.6808,0.24,1,151,1229
Huckleberry,Hybrid,None,Happy,None,19.3,0.2,1,128,409
Yummy,Hybrid,None,Uplifted,None,3.64185,0.21,1,151,1143
Pineapple Euphoria,Hybrid,None,None,Skunk,17.8069,0.2,1,0,0
Chronic Thunder,Indica,Insomnia,Relaxed,Earthy,13.5796,0.36,1,140,726
Jacky White,Hybrid,Stress,Energetic,Citrus,17.0876,1.9,1,141,723
Hawaiian,Hybrid,Stress,Happy,Sweet,13.6,0,1,139,204
Emerald Jack,Hybrid,Stress,Happy,Pine,17.663,1,1,142,960
K2,Hybrid,None,Relaxed,None,21.02989,0,1,146,624
Cannalope Kush,Hybrid,None,None,Citrus,10.0216,0.2,1,142,527
Lemon Sour Diesel,Hybrid,None,None,Vanilla,12.91126,0.1,1,83,124
Apple Jack,Hybrid,None,None,Earthy,24.55675,0.5,1,136,481
Northern Berry,Hybrid,Stress,Relaxed,Berry,13.4257,0.13,1,145,789
Northern Lights #5,Hybrid,Pain,Relaxed,Sweet,16.8,0,1,135,310
Medusa,Hybrid,None,Relaxed,None,15.24991,0.09,1,143,774
Black Russian,Hybrid,Stress,Relaxed,Citrus,13.7158,0.2,1,136,611
Golden Pineapple,Hybrid,None,None,Woody,23.2651,0.4,1,107,278
9 Pound Hammer,Hybrid,Stress,Relaxed,Earthy,19.30561,0.21,1,54,106
Jazz,Hybrid,None,Uplifted,None,9.387722,0,1,146,1301
Blue Lights,Indica,Stress,Euphoric,Blueberry,15.3721,0.2,1,150,831
Frankenstein,Hybrid,Stress,Relaxed,Earthy,14.74181,0,1,150,1056
Supernatural,Hybrid,Stress,Euphoric,Citrus,18.0746,0.19,1,151,1495
Canna-Tsu,Hybrid,None,Relaxed,None,3.58538,11.9,2,130,377
Platinum Bubba Kush,Indica,Pain,Relaxed,Earthy,8.04006,0.12,1,103,162
Swiss Gold,Hybrid,Pain,Relaxed,Citrus,2.44218,4.11,2,152,1183
Blue Power,Hybrid,Stress,Relaxed,Berry,19.24,0.34,1,142,594
Jillybean,Hybrid,None,Happy,None,17.786,0,1,68,116
Power Plant,Hybrid,Pain,Happy,Earthy,16.3637,0.29,1,115,166
Opium,Hybrid,None,Happy,None,13.56901,0,1,149,1179
Skunk 47,Indica,Pain,Relaxed,Earthy,20.0202,0.33,1,150,1322
C4,Hybrid,None,Relaxed,None,22.048,0,1,148,509
NYPD,Sativa,Stress,Uplifted,Earthy,17.8015,0.1,1,147,826
QuickSilver,Hybrid,None,None,Earthy,15.3721,0.6,1,0,0
Space Jill,Sativa,Pain,Creative,None,16.909,0,1,152,1675
White Kush,Hybrid,Insomnia,Sleepy,Berry,26.0961,0.8,1,145,634
Goo,Hybrid,Pain,Sleepy,Berry,17.663,0.2,1,140,374
Chemo,Hybrid,Insomnia,Relaxed,Earthy,14.6197,0.3,1,95,243
True OG,Indica,Stress,Relaxed,Earthy,23.869,0.17,1,102,131
Deep Sleep,Indica,Pain,Relaxed,Earthy,25.33722,0,1,138,816
Matanuska Thunder,Hybrid,None,None,Sweet,15.9013,0.19,1,133,329
Hawaiian Delight,Indica,Pain,Happy,Sweet,19.4432,0.9,1,0,0
Purple Nepal,Hybrid,Stress,Relaxed,Grape,19.38698,0,1,148,949
Dream Berry,Hybrid,Pain,Relaxed,Berry,14.3,0,1,152,1165
Gorilla Glue,Hybrid,None,None,Berry,18.1477,0.19,1,33,15
Blue Moonshine,Hybrid,Stress,Relaxed,Berry,13.5919,1.1,1,146,626
EWOK,Hybrid,None,Relaxed,None,18.9431,0,1,128,566
Bay Dream,Hybrid,Depression,Happy,Citrus,19.0232,0.17,1,142,617
Hawaiian Dream,Sativa,Depression,Happy,Sweet,19.70849,0.17,1,136,526
Presidential OG,Hybrid,Insomnia,Relaxed,Earthy,14.59804,0.17,1,97,207
Grape Skunk,Hybrid,Nausea,Happy,Skunk,18.8039,0.19,1,150,1181
Laughing Buddha,Sativa,Depression,Happy,Citrus,22.60591,0,1,123,224
MILF,Hybrid,None,Happy,None,16.28231,0.16,1,152,667
Northern Wreck,Hybrid,Depression,Euphoric,Earthy,19.5,0.2,1,144,1043
Blue Dynamite,Hybrid,Pain,Relaxed,Citrus,4.508,12,2,150,962
Guard Dawg,Hybrid,Muscle Spasms,Euphoric,Sweet,65.75629,1.18,1,150,1733
Cotton Candy Kush,Hybrid,None,None,Sweet,18.8916,0.48,1,63,94
Tutankhamon,Sativa,Depression,Uplifted,Skunk,88.42986,2.64,1,108,206
Champagne,Hybrid,None,None,Cheese,12.6887,0.13,1,0,0
Blue Afghani,Hybrid,Lack of Appetite,Relaxed,Blueberry,26.556,0,1,146,950
Lavender Haze,Sativa,Stress,Happy,Lavender,25.556,0,1,146,1257
Aliens On Moonshine,Indica,Inflammation,Relaxed,Vanilla,17.155,0,1,143,911
Snowcap,Hybrid,None,Happy,None,20.7,0.1,1,108,191
Flowerbomb Kush,Hybrid,Stress,Relaxed,Earthy,16.6222,0.13,1,148,775
Blue Knight,Indica,Stress,Relaxed,Berry,16.5,0.3,1,142,507
Super Silver Sour Diesel Haze,Hybrid,None,None,Cheese,15.6452,0.37,1,0,0
Platinum Kush,Hybrid,Stress,Relaxed,Earthy,15.7329,0.16,1,64,72
Matanuska Thunder Fuck,Sativa,Depression,Euphoric,Earthy,41.93075,0.26,1,133,329
Afghani,Indica,Stress,Relaxed,Earthy,12.8526,0.63,1,99,83
Bubbleberry,Hybrid,None,Happy,None,12.9765,0.06,1,141,490
Hammerhead,Hybrid,Insomnia,Sleepy,Berry,3.14683,6.36,2,147,824
Vader OG,Hybrid,Pain,Relaxed,Earthy,19.9063,0.3,1,142,1119
Key Lime Pie,Hybrid,None,None,Menthol,17.2,0.4,1,120,198
Blue Alien,Hybrid,Pain,Relaxed,Blueberry,16.933,0.12,1,145,830
Dark Star,Indica,Pain,Relaxed,Earthy,18.7977,0.22,1,115,237
Strawberry Mango Haze,Sativa,Stress,Happy,Mango,47.9,1.3,1,145,666
Nordle,Hybrid,Stress,Relaxed,Pine,7.90557,11.7,2,140,920
Pineapple Super Silver Haze,Sativa,Stress,Happy,Pineapple,15.89568,0.13,1,144,1081
Trinity,Hybrid,Depression,Happy,Earthy,18.8,0.2,1,135,344
Ancient OG,Hybrid,Stress,Relaxed,Earthy,16.04183,0.18,1,139,683
Shishkaberry,Indica,Stress,Relaxed,Berry,18.0854,0.18,1,118,255
